2023-10-15 09:01:52,049 Model 1, rep:1, n:4734, nind:9, iters:0
2023-10-15 09:01:54,714 Model 1, rep:9, n:21670, nind:25, iters:0
2023-10-15 09:01:55,412 Model 1, rep:2, n:4734, nind:9, iters:0
2023-10-15 09:01:58,585 Model 1, rep:3, n:4734, nind:9, iters:0
2023-10-15 09:02:00,543 Model 1, rep:5, n:37547, nind:40, iters:0
2023-10-15 09:02:01,975 Model 1, rep:4, n:4734, nind:9, iters:0
2023-10-15 09:02:05,103 Model 1, rep:5, n:4734, nind:9, iters:0
2023-10-15 09:02:08,291 Model 1, rep:6, n:4734, nind:9, iters:0
2023-10-15 09:02:10,122 Model 1, rep:10, n:21670, nind:25, iters:0
2023-10-15 09:02:11,864 Model 1, rep:7, n:4734, nind:9, iters:0
2023-10-15 09:02:14,329 Model 1, rep:2, n:82005, nind:82, iters:0
2023-10-15 09:02:15,330 Model 1, rep:8, n:4734, nind:9, iters:0
2023-10-15 09:02:18,391 Model 1, rep:9, n:4734, nind:9, iters:0
2023-10-15 09:02:21,648 Model 1, rep:10, n:4734, nind:9, iters:0
2023-10-15 09:02:24,827 Model 1, rep:11, n:4734, nind:9, iters:0
2023-10-15 09:02:25,601 Model 1, rep:11, n:21670, nind:25, iters:0
2023-10-15 09:02:26,794 Model 1, rep:6, n:37547, nind:40, iters:0
2023-10-15 09:02:28,685 Model 1, rep:12, n:4734, nind:9, iters:0
2023-10-15 09:02:29,239 Model 1, rep:4, n:53425, nind:55, iters:0
2023-10-15 09:02:31,967 Model 1, rep:13, n:4734, nind:9, iters:0
2023-10-15 09:02:33,570 Model 1, rep:2, n:90473, nind:90, iters:0
2023-10-15 09:02:35,519 Model 1, rep:14, n:4734, nind:9, iters:0
2023-10-15 09:02:37,163 Model 1, rep:3, n:69303, nind:70, iters:0
2023-10-15 09:02:39,152 Model 1, rep:15, n:4734, nind:9, iters:0
2023-10-15 09:02:41,750 Model 1, rep:12, n:21670, nind:25, iters:0
2023-10-15 09:02:42,750 Model 1, rep:16, n:4734, nind:9, iters:0
2023-10-15 09:02:46,141 Model 1, rep:17, n:4734, nind:9, iters:0
